'DOH000000000007351','10','1035','103505','103505036','02','2016','I10','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','1','2','0','6','2','4','3','9','5','7','8','3','9','18','6','6','3','12','Y'
'DOH000000000007351','10','1035','103505','103505036','02','2016','K29','0','0','1','0','0','3','1','4','0','1','1','1','1','2','0','4','0','3','0','1','1','5','1','4','1','3','3','0','2','9','0','3','2','6','Y'
'DOH000000000007351','10','1035','103505','103505036','02','2016','J22','2','2','3','3','13','8','2','6','2','0','0','0','1','1','0','0','0','1','0','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000007351','10','1035','103505','103505036','02','2016','E10','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','2','1','0','3','2','3','5','4','2','8','2','5','0','3','Y'
'DOH000000000007351','10','1035','103505','103505036','02','2016','N39','0','0','0','0','0','0','0','0','2','1','2','4','0','1','1','1','1','3','0','4','0','1','0','1','2','3','0','0','0','3','0','0','0','3','Y'
'DOH000000000007351','10','1035','103505','103505036','02','2016','J42','1','0','0','0','1','4','1','4','0','3','0','0','0','1','2','0','1','1','1','0','0','2','0','3','0','2','2','0','0','0','0','0','0','0','Y'
'DOH000000000007351','10','1035','103505','103505036','02','2016','J45','0','2','14','4','2','0','0','0','0','3','2','0','0','0','0','0','2','0','3','2','0','4','0','0','4','2','5','2','1','4','0','4','1','0','Y'
'DOH000000000007351','10','1035','103505','103505036','02','2016','J18','0','2','3','8','2','1','2','0','1','0','0','0','0','0','0','0','0','2','2','0','0','0','0','2','1','0','0','0','2','0','0','0','2','0','Y'
'DOH000000000007351','10','1035','103505','103505036','02','2016','A15','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','3','1','0','0','1','1','0','0','1','0','0','0','1','0','0','0','1','0','Y'
'DOH000000000007351','10','1035','103505','103505036','02','2016','L24','0','0','0','0','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','2','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000007351','10','1035','103505','103505036','02','2016','A09','0','0','3','0','1','0','1','1','0','0','0','1','0','0','0','0','0','0','0','0','0','1','0','0','1','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000007351','10','1035','103505','103505036','02','2016','M06','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','1','0','0','1','0','0','5','0','1','0','4','Y'
