'DOH000000000007229','03','0369','036909','00000NULL','10','2011','J06','14','23','128','103','46','45','9','14','2','2','2','4','0','5','1','4','1','1','1','4','1','2','0','2','2','1','1','3','1','5','Y'
'DOH000000000007229','03','0369','036909','00000NULL','10','2011','A09','0','0','10','13','4','4','2','1','0','0','1','3','1','0','0','0','0','0','0','0','0','0','0','1','0','0','0','1','0','1','Y'
'DOH000000000007229','03','0369','036909','00000NULL','10','2011','J18','1','4','8','7','0','0','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','3','Y'
'DOH000000000007229','03','0369','036909','00000NULL','10','2011','I10','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','1','0','3','2','2','0','0','3','5','3','5','Y'
'DOH000000000007229','03','0369','036909','00000NULL','10','2011','J45','0','0','6','3','0','3','0','3','1','0','0','1','0','0','0','0','0','3','0','0','1','0','0','0','0','0','0','1','1','1','Y'
'DOH000000000007229','03','0369','036909','00000NULL','10','2011','L08','0','0','6','6','2','2','1','1','0','0','0','0','0','1','0','0','0','0','1','1','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000007229','03','0369','036909','00000NULL','10','2011','L23','0','0','5','4','0','5','1','0','0','0','0','2','0','0','0','0','0','0','1','0','0','1','0','0','2','0','2','0','0','0','Y'
'DOH000000000007229','03','0369','036909','00000NULL','10','2011','N39','0','0','1','0','0','0','0','3','0','2','1','0','0','3','0','2','1','0','0','3','1','1','0','0','0','0','0','0','0','0','Y'
'DOH000000000007229','03','0369','036909','00000NULL','10','2011','D64','0','0','0','0','0','0','0','0','0','1','0','0','0','3','0','4','0','1','0','0','0','3','0','0','0','0','0','0','0','1','Y'
'DOH000000000007229','03','0369','036909','00000NULL','10','2011','L30','0','0','1','2','0','1','0','1','0','1','0','1','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','3','Y'
'DOH000000000007229','03','0369','036909','00000NULL','10','2011','B26','0','0','0','1','5','3','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000007229','03','0369','036909','00000NULL','10','2011','R42','0','0','0','0','0','0','1','0','0','0','0','1','0','2','0','2','0','1','1','2','0','0','0','0','0','1','0','0','0','0','Y'
'DOH000000000007229','03','0369','036909','00000NULL','10','2011','T14','0','0','1','1','2','1','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000007229','03','0369','036909','00000NULL','10','2011','T79','0','0','2','2','0','0','1','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','1','0','1','1','1','0','Y'
'DOH000000000007229','03','0369','036909','00000NULL','10','2011','J10','0','0','0','0','0','0','1','0','0','1','1','0','0','2','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','Y'
'DOH000000000007229','03','0369','036909','00000NULL','10','2011','K29','0','0','0','1','0','0','0','1','0','1','1','1','0','1','0','0','0','1','0','0','0','0','0','0','0','0','0','0','1','0','Y'
'DOH000000000007229','03','0369','036909','00000NULL','10','2011','H65','0','0','0','2','0','4','0','0','0','1','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000007229','03','0369','036909','00000NULL','10','2011','R10','0','0','2','1','0','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000007229','03','0369','036909','00000NULL','10','2011','B34','1','0','0','2','0','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000007229','03','0369','036909','00000NULL','10','2011','B35','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','1','0','0','2','Y'
'DOH000000000007229','03','0369','036909','00000NULL','10','2011','W54','0','0','1','1','0','0','1','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000007229','03','0369','036909','00000NULL','10','2011','H81','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','1','0','0','0','0','0','0','0','2','0','0','Y'
'DOH000000000007229','03','0369','036909','00000NULL','10','2011','H10','1','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','Y'
'DOH000000000007229','03','0369','036909','00000NULL','10','2011','J42','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','2','0','0','0','0','0','0','0','1','0','0','0','Y'
'DOH000000000007229','03','0369','036909','00000NULL','10','2011','J44','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','1','0','1','Y'
'DOH000000000007229','03','0369','036909','00000NULL','10','2011','E10','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','1','Y'
'DOH000000000007229','03','0369','036909','00000NULL','10','2011','B86','0','0','0','0','1','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000007229','03','0369','036909','00000NULL','10','2011','J40','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000007229','03','0369','036909','00000NULL','10','2011','T20','0','0','1','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000007229','03','0369','036909','00000NULL','10','2011','I84','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','1','0','0','0','0','0','0','0','0','Y'
'DOH000000000007229','03','0369','036909','00000NULL','10','2011','M79','0','0','1','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000007229','03','0369','036909','00000NULL','10','2011','M94','0','0','0','0','0','0','0','0','0','0','0','0','0','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000007229','03','0369','036909','00000NULL','10','2011','L01','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000007229','03','0369','036909','00000NULL','10','2011','K40','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000007229','03','0369','036909','00000NULL','10','2011','M13','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','Y'
'DOH000000000007229','03','0369','036909','00000NULL','10','2011','A15','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','Y'
'DOH000000000007229','03','0369','036909','00000NULL','10','2011','E11','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','Y'
'DOH000000000007229','03','0369','036909','00000NULL','10','2011','W55','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000007229','03','0369','036909','00000NULL','10','2011','L50','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000007229','03','0369','036909','00000NULL','10','2011','L04','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000007229','03','0369','036909','00000NULL','10','2011','G43','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','Y'
'DOH000000000007229','03','0369','036909','00000NULL','10','2011','H52','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000007229','03','0369','036909','00000NULL','10','2011','H00','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000007229','03','0369','036909','00000NULL','10','2011','B77','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000007229','03','0369','036909','00000NULL','10','2011','I20','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','Y'
'DOH000000000007229','03','0369','036909','00000NULL','10','2011','J90','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000007229','03','0369','036909','00000NULL','10','2011','G62','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000007229','03','0369','036909','00000NULL','10','2011','R60','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000007229','03','0369','036909','00000NULL','10','2011','L74','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000007229','03','0369','036909','00000NULL','10','2011','T95','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000007229','03','0369','036909','00000NULL','10','2011','O23','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000007229','03','0369','036909','00000NULL','10','2011','H05','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000007229','03','0369','036909','00000NULL','10','2011','G51','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000007229','03','0369','036909','00000NULL','10','2011','G44','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','Y'
'DOH000000000007229','03','0369','036909','00000NULL','10','2011','I09','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','Y'
