'DOH000000000003798','17','1753','175315','145315014','03','2015','J06','2','2','16','12','9','5','6','5','2','0','3','2','2','2','5','2','1','2','0','0','4','2','0','2','2','1','4','1','2','2','0','0','2','2','Y'
'DOH000000000003798','17','1753','175315','145315014','03','2015','N39','0','0','2','1','2','2','0','0','1','1','2','2','1','1','0','1','0','0','0','2','2','1','0','0','0','0','0','0','0','1','0','1','0','0','Y'
'DOH000000000003798','17','1753','175315','145315014','03','2015','W54','0','0','1','1','4','1','4','1','1','0','2','1','1','1','0','0','0','0','1','0','0','0','0','0','1','0','1','1','0','0','0','0','0','0','Y'
'DOH000000000003798','17','1753','175315','145315014','03','2015','W55','0','0','0','1','1','0','0','0','0','0','0','1','0','1','0','1','0','0','0','0','1','1','0','1','1','0','0','0','0','1','0','1','0','0','Y'
'DOH000000000003798','17','1753','175315','145315014','03','2015','O23','0','0','0','0','0','0','0','0','0','2','0','3','0','2','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003798','17','1753','175315','145315014','03','2015','R10','0','0','0','0','0','0','0','1','1','2','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003798','17','1753','175315','145315014','03','2015','T78','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','2','1','0','0','1','0','0','0','1','Y'
'DOH000000000003798','17','1753','175315','145315014','03','2015','I10','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','1','0','0','0','0','0','0','0','0','2','0','0','0','2','Y'
'DOH000000000003798','17','1753','175315','145315014','03','2015','J40','1','0','0','1','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003798','17','1753','175315','145315014','03','2015','A09','0','0','0','0','1','0','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003798','17','1753','175315','145315014','03','2015','R42','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','2','0','0','0','0','1','0','1','0','0','0','Y'
'DOH000000000003798','17','1753','175315','145315014','03','2015','J18','0','0','1','0','0','1','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003798','17','1753','175315','145315014','03','2015','A15','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003798','17','1753','175315','145315014','03','2015','J45','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','3','0','0','0','3','0','Y'
'DOH000000000003798','17','1753','175315','145315014','03','2015','J90','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','1','0','0','Y'
'DOH000000000003798','17','1753','175315','145315014','03','2015','I51','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','1','0','0','Y'
'DOH000000000003798','17','1753','175315','145315014','03','2015','B54','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003798','17','1753','175315','145315014','03','2015','M13','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','1','0','Y'
'DOH000000000003798','17','1753','175315','145315014','03','2015','T79','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003798','17','1753','175315','145315014','03','2015','B37','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003798','17','1753','175315','145315014','03','2015','J43','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','1','0','Y'
'DOH000000000003798','17','1753','175315','145315014','03','2015','M94','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003798','17','1753','175315','145315014','03','2015','N76','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003798','17','1753','175315','145315014','03','2015','B35','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003798','17','1753','175315','145315014','03','2015','N00','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
