'DOH000000000003780','05','0562','056213','056213033','04','2017','I10','2','2','0','0','0','0','0','0','0','0','1','2','3','2','1','1','2','3','3','1','1','2','5','2','5','6','3','5','5','4','2','1','3','3','Y'
'DOH000000000003780','05','0562','056213','056213033','04','2017','A15','0','0','0','0','3','0','0','6','1','1','2','0','2','0','0','1','0','6','0','0','3','1','1','0','1','1','2','0','3','3','1','2','2','1','Y'
'DOH000000000003780','05','0562','056213','056213033','04','2017','N39','0','1','2','0','1','1','1','0','0','0','1','5','0','5','1','7','0','4','0','2','0','1','0','2','0','0','1','0','0','2','0','2','0','0','Y'
'DOH000000000003780','05','0562','056213','056213033','04','2017','J18','1','2','5','7','1','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','1','2','0','0','1','2','Y'
'DOH000000000003780','05','0562','056213','056213033','04','2017','B86','1','1','9','6','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003780','05','0562','056213','056213033','04','2017','E10','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','1','0','0','2','0','0','0','3','0','1','0','0','0','0','0','0','Y'
'DOH000000000003780','05','0562','056213','056213033','04','2017','J45','0','0','3','1','0','0','1','0','0','0','0','1','0','0','0','0','0','1','0','0','0','0','0','0','1','0','1','0','0','1','0','1','0','0','Y'
'DOH000000000003780','05','0562','056213','056213033','04','2017','L02','0','1','1','1','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','1','1','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003780','05','0562','056213','056213033','04','2017','R10','0','0','0','2','1','4','0','0','0','0','0','2','0','2','0','0','0','0','0','0','0','0','0','0','0','2','0','0','0','2','0','0','0','2','Y'
'DOH000000000003780','05','0562','056213','056213033','04','2017','O23','0','0','0','0','0','0','0','0','0','2','0','2','0','1','0','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003780','05','0562','056213','056213033','04','2017','T79','0','0','0','1','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','2','0','0','0','1','0','0','0','0','0','0','Y'
'DOH000000000003780','05','0562','056213','056213033','04','2017','D64','0','0','0','0','0','0','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','1','0','0','0','0','0','0','0','0','Y'
'DOH000000000003780','05','0562','056213','056213033','04','2017','M13','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','2','1','0','0','0','0','0','0','Y'
'DOH000000000003780','05','0562','056213','056213033','04','2017','B35','0','0','0','0','1','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','1','0','0','0','0','0','0','Y'
'DOH000000000003780','05','0562','056213','056213033','04','2017','L08','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','1','0','0','0','0','1','0','1','0','0','0','Y'
'DOH000000000003780','05','0562','056213','056213033','04','2017','J22','1','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','1','0','0','Y'
'DOH000000000003780','05','0562','056213','056213033','04','2017','J10','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','1','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003780','05','0562','056213','056213033','04','2017','F48','0','0','0','0','0','0','0','0','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','Y'
'DOH000000000003780','05','0562','056213','056213033','04','2017','H60','0','0','0','0','1','0','0','1','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
