'DOH000000000007229','03','0369','036909','00000NULL','08','2011','J06','3','4','57','45','36','18','4','8','1','1','2','1','1','1','1','3','1','2','2','1','1','4','1','1','1','0','0','1','1','2','Y'
'DOH000000000007229','03','0369','036909','00000NULL','08','2011','A09','0','0','15','5','6','2','1','0','2','1','1','0','0','2','1','1','0','0','1','1','0','1','0','1','0','1','1','2','0','1','Y'
'DOH000000000007229','03','0369','036909','00000NULL','08','2011','J10','0','0','1','0','2','5','1','4','2','2','0','0','1','2','0','0','0','0','1','0','0','1','1','1','0','1','0','0','0','1','Y'
'DOH000000000007229','03','0369','036909','00000NULL','08','2011','K29','0','0','2','1','0','3','0','1','0','0','1','1','1','2','0','1','0','2','0','1','0','0','0','1','0','1','0','0','0','3','Y'
'DOH000000000007229','03','0369','036909','00000NULL','08','2011','J40','0','0','2','1','0','0','0','0','0','0','1','1','0','1','0','0','0','2','1','1','2','0','1','2','1','1','1','0','0','0','Y'
'DOH000000000007229','03','0369','036909','00000NULL','08','2011','L23','0','0','5','3','3','3','0','0','0','0','0','1','0','0','0','0','0','1','0','0','0','0','0','0','0','2','0','0','0','2','Y'
'DOH000000000007229','03','0369','036909','00000NULL','08','2011','I10','0','0','0','0','0','0','0','0','0','0','1','0','0','0','1','0','0','0','1','1','0','4','0','0','0','0','1','2','1','2','Y'
'DOH000000000007229','03','0369','036909','00000NULL','08','2011','J45','2','0','7','3','2','2','0','3','1','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','2','0','Y'
'DOH000000000007229','03','0369','036909','00000NULL','08','2011','N39','0','0','1','1','1','0','0','0','0','1','0','1','0','1','2','1','0','0','0','1','0','0','0','1','0','0','0','2','0','0','Y'
'DOH000000000007229','03','0369','036909','00000NULL','08','2011','L30','0','0','3','3','1','0','0','0','1','0','0','1','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000007229','03','0369','036909','00000NULL','08','2011','J18','0','0','2','2','0','1','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','2','1','0','0','1','0','0','0','Y'
'DOH000000000007229','03','0369','036909','00000NULL','08','2011','T14','0','0','0','1','0','0','1','1','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','Y'
'DOH000000000007229','03','0369','036909','00000NULL','08','2011','H10','0','0','4','2','1','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000007229','03','0369','036909','00000NULL','08','2011','T78','0','0','1','1','2','1','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','Y'
'DOH000000000007229','03','0369','036909','00000NULL','08','2011','H65','0','0','0','0','1','2','0','0','1','0','0','0','0','0','0','1','0','1','0','0','0','1','0','0','0','0','0','0','0','0','Y'
'DOH000000000007229','03','0369','036909','00000NULL','08','2011','D64','0','0','0','0','0','0','0','0','0','1','0','0','0','2','0','0','0','0','0','0','0','0','1','1','0','0','0','0','0','0','Y'
'DOH000000000007229','03','0369','036909','00000NULL','08','2011','R42','0','0','0','0','0','0','0','0','1','0','0','0','0','1','0','0','0','0','0','1','0','1','0','0','0','1','0','0','0','0','Y'
'DOH000000000007229','03','0369','036909','00000NULL','08','2011','K52','0','0','1','1','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','1','0','0','0','0','0','0','0','0','Y'
'DOH000000000007229','03','0369','036909','00000NULL','08','2011','W54','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','1','1','Y'
'DOH000000000007229','03','0369','036909','00000NULL','08','2011','T79','0','0','0','1','1','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','Y'
'DOH000000000007229','03','0369','036909','00000NULL','08','2011','B26','0','0','0','0','1','2','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000007229','03','0369','036909','00000NULL','08','2011','M13','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','2','Y'
'DOH000000000007229','03','0369','036909','00000NULL','08','2011','L89','0','0','0','1','0','0','0','0','1','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
