'DOH000000000007203','03','0369','036914','036914007','5','2013','J06','8','6','35','32','6','13','8','1','0','2','0','3','0','2','1','4','0','4','3','5','1','3','0','1','1','0','0','3','6','4','Y'
'DOH000000000007203','03','0369','036914','036914007','5','2013','I10','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','2','0','0','1','0','4','1','6','3','4','2','1','3','7','Y'
'DOH000000000007203','03','0369','036914','036914007','5','2013','L02','0','0','9','8','3','2','0','0','0','0','0','0','1','0','1','1','0','0','0','0','2','1','0','0','0','0','0','0','0','0','Y'
'DOH000000000007203','03','0369','036914','036914007','5','2013','J22','3','2','8','5','1','2','1','0','0','0','0','0','0','1','0','0','0','2','0','0','0','1','0','0','0','0','0','0','1','0','Y'
'DOH000000000007203','03','0369','036914','036914007','5','2013','T14','0','0','1','0','2','0','1','1','0','0','1','0','0','2','0','0','1','0','0','0','1','0','0','0','0','1','2','0','0','0','Y'
'DOH000000000007203','03','0369','036914','036914007','5','2013','A09','0','0','9','5','1','0','0','0','0','0','0','1','0','0','0','2','0','0','0','2','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000007203','03','0369','036914','036914007','5','2013','N39','0','0','0','0','0','1','0','2','0','0','0','1','1','3','1','1','0','1','0','0','0','0','0','2','0','3','1','0','1','1','Y'
'DOH000000000007203','03','0369','036914','036914007','5','2013','J40','0','0','6','2','4','2','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','Y'
'DOH000000000007203','03','0369','036914','036914007','5','2013','A15','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','2','0','1','1','0','1','0','1','0','4','1','Y'
'DOH000000000007203','03','0369','036914','036914007','5','2013','R42','0','0','0','0','0','0','0','0','0','0','0','2','0','1','0','0','0','0','0','0','0','0','0','0','0','0','1','0','1','3','Y'
'DOH000000000007203','03','0369','036914','036914007','5','2013','L23','1','0','2','2','0','0','0','1','1','0','0','0','0','0','0','0','0','1','0','0','0','0','1','0','1','0','0','0','0','2','Y'
'DOH000000000007203','03','0369','036914','036914007','5','2013','T79','0','0','0','3','0','1','0','0','0','0','2','0','1','0','0','0','0','0','0','1','0','2','1','0','0','0','0','0','0','0','Y'
'DOH000000000007203','03','0369','036914','036914007','5','2013','R10','0','2','6','0','1','0','1','0','1','0','0','1','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','2','0','1','Y'
'DOH000000000007203','03','0369','036914','036914007','5','2013','M79','0','0','0','0','1','0','1','0','1','0','2','0','2','0','0','0','0','0','1','2','0','0','0','0','0','1','1','0','0','0','Y'
'DOH000000000007203','03','0369','036914','036914007','5','2013','W54','0','0','1','2','0','0','0','1','0','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000007203','03','0369','036914','036914007','5','2013','K29','1','0','0','0','0','0','0','0','0','1','0','1','0','0','0','0','1','0','0','0','0','0','0','0','0','1','0','0','0','0','Y'
'DOH000000000007203','03','0369','036914','036914007','5','2013','H10','0','0','0','1','1','2','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000007203','03','0369','036914','036914007','5','2013','B82','0','0','2','1','1','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000007203','03','0369','036914','036914007','5','2013','B37','1','0','1','3','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000007203','03','0369','036914','036914007','5','2013','L73','1','1','0','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000007203','03','0369','036914','036914007','5','2013','M13','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','1','2','0','Y'
'DOH000000000007203','03','0369','036914','036914007','5','2013','H60','0','0','2','0','0','0','0','0','0','1','0','0','1','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000007203','03','0369','036914','036914007','5','2013','L04','0','0','2','0','0','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000007203','03','0369','036914','036914007','5','2013','J45','0','0','2','6','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','Y'
