'DOH000000000003780','05','0562','056213','056213033','09','2015','A15','0','0','0','0','1','0','0','0','0','0','3','4','7','2','4','0','2','0','1','4','4','1','2','0','1','0','1','0','5','1','2','0','3','1','Y'
'DOH000000000003780','05','0562','056213','056213033','09','2015','J18','2','0','15','12','3','4','2','2','1','0','0','1','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003780','05','0562','056213','056213033','09','2015','I10','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','2','1','0','2','3','0','0','1','0','3','8','11','3','4','5','7','Y'
'DOH000000000003780','05','0562','056213','056213033','09','2015','B34','0','1','1','3','3','2','1','1','1','1','0','1','0','1','0','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003780','05','0562','056213','056213033','09','2015','N39','1','2','0','2','0','1','1','0','1','0','0','0','0','1','0','1','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003780','05','0562','056213','056213033','09','2015','J45','0','1','1','0','1','0','1','1','0','1','0','0','0','0','0','0','0','1','0','0','0','2','0','1','1','0','0','0','0','1','0','1','0','0','Y'
'DOH000000000003780','05','0562','056213','056213033','09','2015','A09','0','0','3','1','1','0','1','0','0','0','0','0','0','0','1','0','0','0','0','0','1','0','0','1','0','0','0','0','0','1','0','1','0','0','Y'
'DOH000000000003780','05','0562','056213','056213033','09','2015','T78','1','0','1','2','0','0','1','0','0','1','0','2','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','1','0','0','0','1','0','Y'
'DOH000000000003780','05','0562','056213','056213033','09','2015','K30','0','0','0','0','0','0','0','1','1','1','0','1','0','0','0','0','1','0','0','0','0','1','0','0','0','0','0','1','1','0','1','0','0','0','Y'
'DOH000000000003780','05','0562','056213','056213033','09','2015','D64','0','0','0','0','1','0','0','0','0','0','0','1','0','0','0','1','0','0','0','0','0','1','0','1','0','0','0','0','1','1','1','1','0','0','Y'
'DOH000000000003780','05','0562','056213','056213033','09','2015','J10','0','0','0','0','1','1','1','0','0','1','0','0','0','0','0','0','0','0','0','1','0','0','0','1','0','0','0','0','0','1','0','1','0','0','Y'
'DOH000000000003780','05','0562','056213','056213033','09','2015','T79','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','1','1','1','0','0','0','1','0','0','0','1','Y'
'DOH000000000003780','05','0562','056213','056213033','09','2015','L01','0','0','3','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003780','05','0562','056213','056213033','09','2015','B86','0','2','1','1','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003780','05','0562','056213','056213033','09','2015','R10','0','0','1','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','1','0','1','0','1','0','0','Y'
'DOH000000000003780','05','0562','056213','056213033','09','2015','H10','0','0','0','0','0','1','0','0','0','0','0','0','0','1','0','1','0','0','1','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','Y'
'DOH000000000003780','05','0562','056213','056213033','09','2015','F48','0','0','0','0','0','0','0','1','0','0','0','0','0','0','1','0','0','0','1','0','0','0','0','0','0','0','0','0','1','0','1','0','0','0','Y'
'DOH000000000003780','05','0562','056213','056213033','09','2015','L02','0','0','1','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','Y'
'DOH000000000003780','05','0562','056213','056213033','09','2015','F41','0','0','0','0','0','0','0','0','1','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','Y'
'DOH000000000003780','05','0562','056213','056213033','09','2015','M13','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','2','0','1','0','1','Y'
'DOH000000000003780','05','0562','056213','056213033','09','2015','O03','0','0','0','0','0','0','0','0','0','0','0','0','0','1','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','0','Y'
